Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C7",C_0402,6,100nF,C1525
C10,C_0402,1,220uF,C1525
"C11, C8",C_0402,2,10uF,C15525
C6,C_0402,1,470nF,C47339
D1,D_0805,1,Green,C2297
"D2, D3",D_0805,2,Red,C84256
"J1, J2",PinSocket_1x28_P2.54mm_Vertical,2,Conn_01x28_Socket,
J3,PinSocket_1x09_P2.54mm_Vertical,1,Conn_01x09_Socket,
J5,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J6,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
J7,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
J8,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
"R1, R2",R_0402,2,4.7kΩ,C25900
R3,R_0402,1,10kΩ,C25744
R4,R_0402,1,1kΩ,C11702
"R5, R6, R7",R_0402,3,330Ω,C25104
TP1,TestPoint_Pad_D2.0mm,1,TP_SDA,
TP2,TestPoint_Pad_D2.0mm,1,TP_SCL,
TP3,TestPoint_Pad_D2.0mm,1,TP_PWM,
TP4,TestPoint_Pad_D2.0mm,1,TP_3V3,
TP5,TestPoint_Pad_D2.0mm,1,TP_GND,
U1,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,AT24C256C,C6482
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,LM386,
U3,XDCR_COM-09032,1,COM-09032,
