Designator,Mid X,Mid Y,Rotation,Layer
C1,131.1,-51.15,0.0,top
C10,97.75,-97.065,0.0,top
C11,105.25,-110.565,180.0,top
C2,177.4,-127.1,270.0,top
C3,86.995,-130.056,90.0,top
C4,103.74,-144.172,180.0,top
C5,116.95,-96.0,90.0,top
C6,112.95,-97.365,0.0,top
C7,105.25,-105.065,0.0,top
C8,100.15,-108.0,0.0,top
D1,194.0,-75.5,270.0,top
D2,194.3,-89.96,90.0,top
D3,194.2,-82.74,90.0,top
J1,149.28,-112.71,180.0,top
J2,131.5,-112.71,180.0,top
J3,139.91,-48.175,90.0,top
J5,90.075,-98.785,0.0,top
J6,170.5,-112.87,180.0,top
J7,149.28,-58.05,180.0,top
J8,131.5,-59.4,180.0,top
R1,172.2,-127.2,270.0,top
R2,175.6,-131.5,270.0,top
R3,95.123,-116.078,0.0,top
R4,120.85,-96.065,0.0,top
R5,189.9,-76.7,0.0,top
R6,190.2,-89.1,0.0,top
R7,190.6,-82.28,0.0,top
U1,166.63,-129.96,180.0,top
U2,105.35,-98.7,90.0,top
U3,101.473,-127.508,0.0,top
